river_id,target_date,horizon_day,pred_flow,true_flow,capacity_q95,true_class,pred_flow_adjusted,pred_class
1540500,2023-01-21,9,36472.61328125,44400.0,48974.999999999825,0,40119.874609375,0
1540500,2023-01-22,10,42909.18359375,42300.0,48974.999999999825,0,47200.101953125006,0
1540500,2023-01-18,1,21453.671875,20800.0,48974.999999999825,0,23599.039062500004,0
1540500,2023-01-19,2,19953.876953125,20000.0,48974.999999999825,0,21949.2646484375,0
1540500,2023-01-20,3,23231.783203125,28700.0,48974.999999999825,0,25554.9615234375,0
1540500,2023-01-21,4,36506.64453125,44400.0,48974.999999999825,0,40157.308984375006,0
1540500,2023-01-22,5,42930.05859375,42300.0,48974.999999999825,0,47223.06445312501,0
1540500,2023-01-23,6,33052.78515625,37200.0,48974.999999999825,0,36358.063671875,0
1540500,2023-01-24,7,31882.423828125,33500.0,48974.999999999825,0,35070.6662109375,0
1540500,2023-01-25,8,29689.55078125,29300.0,48974.999999999825,0,32658.505859375004,0
1540500,2023-01-26,9,28048.482421875,27300.0,48974.999999999825,0,30853.3306640625,0
1540500,2023-01-27,10,27966.015625,26600.0,48974.999999999825,0,30762.617187500004,0
1540500,2023-01-23,1,33222.265625,37200.0,48974.999999999825,0,36544.4921875,0
1540500,2023-01-24,2,32036.892578125,33500.0,48974.999999999825,0,35240.581835937504,0
1540500,2023-01-25,3,29778.248046875,29300.0,48974.999999999825,0,32756.0728515625,0
1540500,2023-01-26,4,28110.0078125,27300.0,48974.999999999825,0,30921.00859375,0
1540500,2023-01-27,5,27998.490234375,26600.0,48974.999999999825,0,30798.339257812502,0
1540500,2023-01-28,6,27874.34765625,24900.0,48974.999999999825,0,30661.782421875003,0
1540500,2023-01-29,7,24901.849609375,23000.0,48974.999999999825,0,27392.034570312502,0
1540500,2023-01-30,8,23964.083984375,21300.0,48974.999999999825,0,26360.492382812503,0
1540500,2023-01-31,9,22738.982421875,20300.0,48974.999999999825,0,25012.8806640625,0
1540500,2023-02-01,10,21752.748046875,20500.0,48974.999999999825,0,23928.022851562502,0
1540500,2023-01-28,1,27829.109375,24900.0,48974.999999999825,0,30612.0203125,0
1540500,2023-01-29,2,24881.5546875,23000.0,48974.999999999825,0,27369.710156250003,0
1540500,2023-01-30,3,23951.865234375,21300.0,48974.999999999825,0,26347.051757812504,0
1540500,2023-01-31,4,22728.5390625,20300.0,48974.999999999825,0,25001.392968750002,0
1540500,2023-02-01,5,21743.83984375,20500.0,48974.999999999825,0,23918.223828125003,0
1540500,2023-02-02,6,20475.8046875,19400.0,48974.999999999825,0,22523.385156250002,0
1540500,2023-02-03,7,18171.6484375,17000.0,48974.999999999825,0,19988.81328125,0
1540500,2023-02-04,8,15288.1669921875,14700.0,48974.999999999825,0,16816.98369140625,0
1540500,2023-02-05,9,13434.0869140625,13600.0,48974.999999999825,0,14777.495605468752,0
1540500,2023-02-06,10,12705.9111328125,11000.0,48974.999999999825,0,13976.50224609375,0
1540500,2023-02-02,1,20265.78125,19400.0,48974.999999999825,0,22292.359375,0
1540500,2023-02-03,2,18004.15234375,17000.0,48974.999999999825,0,19804.567578125003,0
1540500,2023-02-04,3,15155.6484375,14700.0,48974.999999999825,0,16671.213281250002,0
1540500,2023-02-05,4,13344.0888671875,13600.0,48974.999999999825,0,14678.497753906251,0
1540500,2023-02-06,5,12643.4697265625,11000.0,48974.999999999825,0,13907.81669921875,0
1540500,2023-02-07,6,10795.771484375,10400.0,48974.999999999825,0,11875.348632812502,0
1540500,2023-02-08,7,11005.4140625,11600.0,48974.999999999825,0,12105.95546875,0
1540500,2023-02-09,8,13382.501953125,12200.0,48974.999999999825,0,14720.752148437501,0
1540500,2023-02-10,9,16192.9072265625,12200.0,48974.999999999825,0,17812.197949218753,0
1540500,2023-02-11,10,17070.6640625,13100.0,48974.999999999825,0,18777.73046875,0
1540500,2023-02-07,1,10736.578125,10400.0,48974.999999999825,0,11810.235937500001,0
1540500,2023-02-08,2,10939.3447265625,11600.0,48974.999999999825,0,12033.27919921875,0
